,propNormal,operatingError,reportingError
72216,0.1,0.8575203831576501,0.8416578058196122
72432,0.5,0.410508146035154,0.5026596837592917
72648,0.1,0.8559353528057632,0.8445716157340916
72864,0.5,0.4040673686440335,0.5029968452878663
73080,0.1,0.8592305706514174,0.8444936063738566
73296,0.5,0.4059195565540192,0.5084342159319956
73512,0.1,0.8541308333926311,0.8481822089453708
73728,0.5,0.4029910804938743,0.4860263942965194
73944,0.1,0.8415077884255853,0.8320584171939046
74160,0.5,0.4104911604438058,0.5017444878897064
74376,0.1,0.8529640829720012,0.8309089830212681
74592,0.5,0.4152080146280841,0.5132813636371352
74808,0.1,0.8554976470835818,0.8458609871208452
75024,0.5,0.4050294335836434,0.4952589023109244
